[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 18:48:54] Epoch#8_Iter#435200_loss: 14.013
[2022-01-20 18:49:42] Epoch#8_Iter#448000_loss: 16.055
[2022-01-20 18:50:29] Epoch#8_Iter#460800_loss: 17.449
[2022-01-20 18:51:17] Epoch#8_Iter#473600_loss: 14.990
[2022-01-20 18:52:04] Epoch#8_Iter#486400_loss: 16.889
[2022-01-20 18:52:50] Epoch#8 end, Accuracy: 95.800, Time Consumed: 1820.377
[2022-01-20 18:53:37] Epoch#9_Iter#12800_loss: 15.538
[2022-01-20 18:54:25] Epoch#9_Iter#25600_loss: 15.116
[2022-01-20 18:55:12] Epoch#9_Iter#38400_loss: 13.236
[2022-01-20 18:56:00] Epoch#9_Iter#51200_loss: 13.037
[2022-01-20 18:56:47] Epoch#9_Iter#64000_loss: 14.907
[2022-01-20 18:57:35] Epoch#9_Iter#76800_loss: 13.987
[2022-01-20 18:58:22] Epoch#9_Iter#89600_loss: 13.722
[2022-01-20 18:59:10] Epoch#9_Iter#102400_loss: 11.486
[2022-01-20 18:59:57] Epoch#9_Iter#115200_loss: 17.473
[2022-01-20 19:00:45] Epoch#9_Iter#128000_loss: 13.141
[2022-01-20 19:01:32] Epoch#9_Iter#140800_loss: 13.725
[2022-01-20 19:02:20] Epoch#9_Iter#153600_loss: 16.016
[2022-01-20 19:03:07] Epoch#9_Iter#166400_loss: 15.495
[2022-01-20 19:03:55] Epoch#9_Iter#179200_loss: 15.645
[2022-01-20 19:04:42] Epoch#9_Iter#192000_loss: 15.394
[2022-01-20 19:05:30] Epoch#9_Iter#204800_loss: 12.541
[2022-01-20 19:06:17] Epoch#9_Iter#217600_loss: 14.050
[2022-01-20 19:07:05] Epoch#9_Iter#230400_loss: 16.801
[2022-01-20 19:07:52] Epoch#9_Iter#243200_loss: 15.898
[2022-01-20 19:08:40] Epoch#9_Iter#256000_loss: 13.932
[2022-01-20 19:09:27] Epoch#9_Iter#268800_loss: 13.112
[2022-01-20 19:10:15] Epoch#9_Iter#281600_loss: 13.993
[2022-01-20 19:11:02] Epoch#9_Iter#294400_loss: 14.793
[2022-01-20 19:11:50] Epoch#9_Iter#307200_loss: 12.252
[2022-01-20 19:12:37] Epoch#9_Iter#320000_loss: 14.527
[2022-01-20 19:13:25] Epoch#9_Iter#332800_loss: 13.674
[2022-01-20 19:14:12] Epoch#9_Iter#345600_loss: 13.113
[2022-01-20 19:15:00] Epoch#9_Iter#358400_loss: 13.937
[2022-01-20 19:15:47] Epoch#9_Iter#371200_loss: 14.442
[2022-01-20 19:16:35] Epoch#9_Iter#384000_loss: 14.223
[2022-01-20 19:17:22] Epoch#9_Iter#396800_loss: 17.091
